site	iso	instance_id	instance_name	instance_abbr	source_url	edition_id	work_id	num_books	num_chapters	num_verses	num_words	text_included
bibles.org	eng	de08848bef5aa286-03	Good News Bible (British Version) Catholic Edition 2017		https://api.bible/bibles/de08848bef5aa286-03	good-news-2017-british-catholic	good-news	27	260	7897	193312	false
bibles.org	eng	de08848bef5aa286-01	Good News Bible (British Version) with Deuterocanonical books 2017		https://api.bible/bibles/de08848bef5aa286-01	good-news-2017-british	good-news	27	260	7897	193312	false
bibles.org	eng	61fd76eafa1577c2-02	Good News Translation		https://api.bible/bibles/61fd76eafa1577c2-02	good-news-1992-2nd-edition	good-news	27	260	7897	192564	false
bibles.org	eng	61fd76eafa1577c2-01	Good News Translation (US Version)		https://api.bible/bibles/61fd76eafa1577c2-01	good-news-1992-2nd-edition-us	good-news	27	260	7897	192564	false
bibles.org	eng	de4e12af7f28f599-01	King James (Authorised) Version		https://api.bible/bibles/de4e12af7f28f599-01	king-james-version-1769	king-james-version	27	260	7957	180815	true
bibles.org	eng	de4e12af7f28f599-02	King James (Authorised) Version		https://api.bible/bibles/de4e12af7f28f599-02	king-james-version-1769	king-james-version	27	260	7957	180815	true
bibles.org	eng	5cccfa61df57262f-01	King James Version  (Bible Society Paragraphed Edition 1954)		https://api.bible/bibles/5cccfa61df57262f-01	king-james-version-1954-bible-society-paragraphed	king-james-version	27	260	7957	180382	false
bibles.org	eng	a6aee10bb058511c-01	King James Version with Apocrypha, American Edition		https://api.bible/bibles/a6aee10bb058511c-01	king-james-version-1962-american-edition	king-james-version	27	260	7957	180337	false
bibles.org	eng	a6aee10bb058511c-02	King James Version, American Edition		https://api.bible/bibles/a6aee10bb058511c-02	king-james-version-1962-american-edition	king-james-version	27	260	7957	180337	false
bibles.org	eng	01b29f4b342acc35-01	Literal Standard Version		https://api.bible/bibles/01b29f4b342acc35-01	literal-standard-version-2020	literal-standard-version	27	260	7959	181124	true
bibles.org	eng	99e22db6104f0498-01	Matthew1-22, 1525 (William Tyndale) Cologne Fragment		https://api.bible/bibles/99e22db6104f0498-01	tyndale-bible-1525-cologne-fragment	tyndale-bible	1	22	739	16878	true
bibles.org	eng	5b888a42e2d9a89d-01	New International Reader’s Version 2014		https://api.bible/bibles/5b888a42e2d9a89d-01	new-international-readers-version-2014	new-international-readers-version	27	260	7896	198004	false
bibles.org	eng	3e2eb613d45e131e-01	New International Version (Anglicized) 2011		https://api.bible/bibles/3e2eb613d45e131e-01	new-international-version-2011-anglicised	new-international-version	27	260	7896	175175	false
bibles.org	eng	78a9f6124f344018-01	New International Version 2011		https://api.bible/bibles/78a9f6124f344018-01	new-international-version-2011	new-international-version	27	260	7847	173484	false
bibles.org	eng	d6e14a625393b4da-01	New Living Translation		https://api.bible/bibles/d6e14a625393b4da-01	new-living-translation-2015	new-living-translation	27	260	7942	186287	false
bibles.org	eng	1fd99b0d5841e19b-01	New Revised Standard Version		https://api.bible/bibles/1fd99b0d5841e19b-01	new-revised-standard-version-1989	new-revised-standard-version	27	260	7941	176110	false
bibles.org	eng	1fd99b0d5841e19b-02	New Revised Standard Version		https://api.bible/bibles/1fd99b0d5841e19b-02	new-revised-standard-version-1989	new-revised-standard-version	27	260	7941	176110	false
bibles.org	eng	4eede3e748e0a2c3-03	New Revised Standard Version (Anglicised) 1989		https://api.bible/bibles/4eede3e748e0a2c3-03	new-revised-standard-version-1989-anglicised	new-revised-standard-version	27	260	7941	176144	false
bibles.org	eng	4eede3e748e0a2c3-02	New Revised Standard Version Catholic Edition (Anglicised) 1989		https://api.bible/bibles/4eede3e748e0a2c3-02	new-revised-standard-version-1989-anglicised-catholic	new-revised-standard-version	27	260	7941	176144	false
