edition_id	display_name	publication_year	copyright_status	copyright_statement	copyright_statement_source_url	license	rights_holder
reina-valera-1858	1858	1858	public_domain
reina-valera-1870	1870	1870	public_domain
reina-valera-1909	1909	1909	public_domain
reina-valera-1960	1960	1960	copyrighted
reina-valera-1995	1995	1995	copyrighted
restored-name-king-james-version-2012	2012	2012	open_license	Distribution license: Public Domain	https://www.bible-discovery.com/bible-license-rnkjv.php	LicenseRef-PD
revised-geneva-translation-2024	2024	2024	copyrighted
revised-standard-version-1946-old-tradition	1946 old tradition	1946	copyrighted
revised-standard-version-1952	1952	1952	copyrighted
revised-standard-version-1971	1971	1971	copyrighted
revised-standard-version-1971-catholic	1971 catholic	1971	copyrighted
revised-standard-version-1977-uk	1977 uk	1977	copyrighted
ricciotti-1940	1940	1940	copyrighted
riveduta-1924	1924	1924	public_domain
riveduta-1927	1927	1927	public_domain
riveduta-2020	2020	2020	copyrighted	"Copyright © 2020, ADI-Media
Il testo della Versione Riveduta 2020 è protetto da copyright ed è stato reso disponibile su Internet esclusivamente per uso personale. Il testo non può essere alterato o modificato in qualsiasi modo e deve rimanere nel contesto originale. Qualsiasi altro uso è vietato senza il consenso scritto dell'editore.
"	https://www.laparola.net/versioni.php
rotherham-emphasized-bible-1902	1902	1902	public_domain
sacy-bible-1759	1759	1759	public_domain
sacy-bible-1855	1855	1855	public_domain
sagradas-escrituras-1999	1999	1999	open_license	"Copyright (c) 1999, Russell Martin Stendal This Bible may be used freely provided that the contents are not altered.
"	https://gratis.bible/es/sev/	LicenseRef-Stendal-VersionAntigua	Russell Martin Stendal
sainte-bible-libre-2022	2022	2022	public_domain
segond-21-2007	2007	2007	copyrighted
segun-el-texto-bizantino-2005	2005	2005	copyrighted
simple-french-bible-2023	2023	2023	copyrighted
